"user_id","gender","age_group","city","CE_id","mean_rate","satisfaction","avg_check","timediff_order","phone_id","dw_kind","platform","os","dw_id","savings","spendings","num_orders"
"116698","male","55-64","<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>","CE_1",1.33,"Detractors",119.54,140,"100032","courier","web","windows","dw_1",873.779996395111,35406.8498401642,30
"103240","female","25-34","<U+0412><U+043E><U+043B><U+0433><U+043E><U+0433><U+0440><U+0430><U+0434>","CE_2",4.2,"Promoters",163.82,225,"10005","courier","web","android","dw_2",1116.50000286102,17800.3900222778,25
"612653","female","15-24","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+0434><U+0430><U+0440>","CE_3",4.2,"Promoters",170.15,101,"100109","courier","app","ios","dw_3",11427.5599358082,76671.2998809814,22
"1925853","male","25-34","<U+0421><U+0430><U+043D><U+043A><U+0442>-<U+041F><U+0435><U+0442><U+0435><U+0440><U+0431><U+0443><U+0440><U+0433>","CE_4",2.86,"Detractors",149.035,101,"100112","courier","app","android","dw_4",4976.36997747421,25475.0501213074,21
"1338933","female","25-34","<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>","CE_5",4.69,"Promoters",121.52,126,"100121","express_delivery","app","ios","dw_5",501.540004730225,32348.4400672913,16
"2031642","male","45-54","<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>","CE_6",1.43,"Detractors",94.32,85,"100150","courier","web","windows","dw_6",1357.01999354362,12715.7800540924,11
"1618094","male","25-34","<U+0420><U+043E><U+0441><U+0442><U+043E><U+0432>-<U+043D><U+0430>-<U+0414><U+043E><U+043D><U+0443>","CE_7",1.88,"Detractors",104,124,"100223","courier","app","android","dw_7",761.939999580383,7631.37999534607,8
"1344815","female","35-44","<U+0421><U+0430><U+043C><U+0430><U+0440><U+0430>","CE_8",4.46,"Promoters",211.955,145,"10025","courier","app","ios","dw_8",2534.63001918793,49689.0500545502,52
"2031777","male","35-44","<U+0421><U+0430><U+043D><U+043A><U+0442>-<U+041F><U+0435><U+0442><U+0435><U+0440><U+0431><U+0443><U+0440><U+0433>","CE_9",4.29,"Promoters",84.59,81,"100260","courier","app","android","dw_9",865.400000572205,2378.60999298096,7
"567483","male","15-24","<U+0421><U+0430><U+043D><U+043A><U+0442>-<U+041F><U+0435><U+0442><U+0435><U+0440><U+0431><U+0443><U+0440><U+0433>","CE_10",3.47,"Passives",114.845,113,"100279","courier","app","ios","dw_10",1542.28999185562,12627.4799575806,15
"2232133","female","45-54","<U+0427><U+0435><U+043B><U+044F><U+0431><U+0438><U+043D><U+0441><U+043A>","CE_11",3.33,"Passives",132.89,86,"100374","courier","web","windows","dw_11",41.2900009155273,3385.28998184204,6
"2031882","female","25-34","<U+0427><U+0435><U+043B><U+044F><U+0431><U+0438><U+043D><U+0441><U+043A>","CE_12",3.33,"Passives",132.89,86,"100374","courier","web","windows","dw_12",41.2900009155273,3385.28998184204,6
"1663977","female","15-24","<U+0422><U+044E><U+043C><U+0435><U+043D><U+044C>","CE_13",5,"Promoters",82.625,112,"100415","courier","app","android","dw_13",2114.78997850418,22708.2899951935,28
"1581740","female","25-34","<U+041C><U+043E><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+041E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","CE_14",5,"Promoters",154.505,78,"100511","courier","app","android","dw_14",5842.4300031662,22543.6800308228,7
"249239","male","25-34","<U+042F><U+0440><U+043E><U+0441><U+043B><U+0430><U+0432><U+043B><U+044C>","CE_15",2.62,"Detractors",66.28,99,"100614","courier","app","ios","dw_15",1141.78000068665,5409.55001831055,16
"2699263","female","25-34","<U+0415><U+043A><U+0430><U+0442><U+0435><U+0440><U+0438><U+043D><U+0431><U+0443><U+0440><U+0433>","CE_16",2.5,"Detractors",146.535,199,"100676","courier","app","android","dw_16",535.530007362366,8750.06002235413,18
"966864","female","45-54","<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>","CE_17",3.23,"Passives",112.735,105,"100692","courier","app","ios","dw_17",1228.21998739243,16439.8900108337,17
"1657640","female","25-34","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+044F><U+0440><U+0441><U+043A>","CE_18",0.87,"Detractors",110.92,105,"100712","courier","web","windows","dw_18",3449.14998912811,26905.8699207306,11
